frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,entry_time
1,5.0,[1101.1153865345693 581.4050738178463 1391.9763103871326 870.1820302327325],[1205.7008056640625 774.5379638671875 1291.9638671875 821.0694580078125],0.5838017463684082,NO51TSU,0.02587153394009213,2024-05-01 13:34:31,
1,3.0,[375.30210894634956 687.1833404764913 712.6544325867453 995.0576565148632],[486.8983154296875 882.2964477539062 601.8140258789062 931.5078735351562],0.5309780240058899,MA13MRU,0.2354133498816875,2024-05-01 13:34:31,
3,3.0,[371.6922343444354 693.5033825204277 713.4838333940339 1005.2577570487549],[478.9529113769531 891.9331665039062 593.3593139648438 942.71435546875],0.5247106552124023,NA13NRU,0.26706971063135737,2024-05-01 13:34:31,
5,3.0,[368.8221261120615 698.79410136325 713.0331519192642 1013.8922286565149],[470.73541259765625 895.1921997070312 594.8668212890625 946.1347045898438],0.3968435823917389,NA13MPU,0.8067273790238598,2024-05-01 13:34:31,
7,3.0,[363.3919316206561 704.0756333327403 711.9868092250374 1026.2514771595902],[469.0188903808594 903.6828002929688 592.52294921875 955.4119262695312],0.5632750988006592,NA13NPU,0.3024800186036467,2024-05-01 13:34:31,
8,3.0,[361.41884165117426 705.3183579732619 709.4971273907304 1027.454999415083],[468.74560546875 910.8869018554688 578.15625 957.0422973632812],0.5819956064224243,HA13NRU,0.46249787855885494,2024-05-01 13:34:31,
10,5.0,[1098.34257150148 597.4807448030273 1411.818953579785 898.9123113961822],[1211.91943359375 800.5046997070312 1298.294677734375 847.8425903320312],0.6235514879226685,MI51VSU,0.03127218321407836,2024-05-01 13:34:31,
15,5.0,[1099.6859954230883 608.979752722943 1410.3739309710998 914.8333476319951],[1213.7567138671875 818.3443603515625 1298.817626953125 860.7946166992188],0.6504653692245483,NO51VSU,0.046381402449149546,2024-05-01 13:34:31,
17,5.0,[1099.841889100547 612.7283115678152 1411.7043073989846 920.8733282506438],[1215.195556640625 823.4540405273438 1302.599853515625 867.2103881835938],0.6318079829216003,NI51VSV,0.04807447654880105,2024-05-01 13:34:31,
21,3.0,[329.6552893635813 752.2586647827409 693.8081715024473 1076.3985381103646],[441.8965148925781 964.2275390625 575.7425537109375 1019.7557373046875],0.612993597984314,NA13NRU,0.7474984250170803,2024-05-01 13:34:31,
22,3.0,[327.90904021795757 754.7307196186352 692.5807458499236 1077.4728746462595],[441.9379577636719 965.1505737304688 566.922607421875 1018.6561889648438],0.636610209941864,MA13NRU,0.26502005826946134,2024-05-01 13:34:31,
23,5.0,[1103.9222994400716 627.8955521054307 1427.8632100614777 939.5736443894015],[1220.35693359375 843.3477783203125 1308.453369140625 884.2105102539062],0.666584312915802,CO51WSW,0.1462092796674846,2024-05-01 13:34:31,
23,3.0,[326.5968095188992 757.2232764178679 692.3313225505383 1078.199534124205],[448.9486083984375 967.5975952148438 574.5195922851562 1021.5195922851562],0.6143407225608826,NA13MRU,0.7115739486778168,2024-05-01 13:34:31,
27,3.0,[318.35957494273225 770.1015711174132 688.7067393805097 1079.1229950999623],[428.7103271484375 988.38427734375 564.6168823242188 1045.7156982421875],0.664451539516449,NA13MRU,0.15629659952748612,2024-05-01 13:34:31,
28,3.0,[316.74730021259586 773.5121498859576 688.1930069423692 1079.1139636956614],[437.09912109375 991.2740478515625 559.0118408203125 1046.0906982421875],0.6679485440254211,NA13MQU,0.5386365337079204,2024-05-01 13:34:31,
29,3.0,[312.8273030543751 776.0731719470461 685.5616260655032 1078.664120492476],[431.2657470703125 993.7542724609375 563.8261108398438 1051.0946044921875],0.671417772769928,MA13NRU,0.21262799253643366,2024-05-01 13:34:31,
35,5.0,[1107.6315070875603 657.8988265843916 1438.0637142870141 986.7131927812134],[1227.5185546875 884.2146606445312 1318.532958984375 925.5540161132812],0.6104644536972046,WD51WSU,0.07173033585601962,2024-05-01 13:34:31,
36,5.0,[1106.953145924232 661.0828337429477 1437.4912602767977 992.3039557975153],[1229.003662109375 890.9470825195312 1321.4920654296875 931.9531860351562],0.6650607585906982,CV51WSV,0.04399939391127825,2024-05-01 13:34:31,
41,5.0,[1107.8654494363552 675.8278684080365 1442.6805597950495 1011.3222673262233],[1231.05908203125 905.2564086914062 1325.4775390625 950.6599731445312],0.6178297400474548,NI51VSU,0.04850197308720176,2024-05-01 13:34:31,
49,5.0,[1113.8553343926974 697.5311979320642 1463.9727369178922 1044.3492190210616],[1239.725341796875 938.1549682617188 1336.81884765625 982.5521850585938],0.6965936422348022,NT51VSU,0.06473456741585434,2024-05-01 13:34:31,
60,5.0,[1124.594618197182 730.9783481908778 1480.727590620055 1075.0712066438557],[1253.0650634765625 984.6124877929688 1355.022705078125 1031.249755859375],0.7120242714881897,CO51VSU,0.07102390198319818,2024-05-01 13:34:31,
61,5.0,[1125.5545883704635 732.8255295432899 1481.7840607073076 1074.420173918705],[1250.8470458984375 985.774658203125 1355.7445068359375 1033.2689208984375],0.7199895977973938,MV51WSU,0.07015966362995478,2024-05-01 13:34:31,
64,6.0,[537.8825578787721 615.453940129574 848.7032569504879 858.9472121446602],[654.4061889648438 763.81640625 737.1683959960938 803.4481201171875],0.2553653120994568,CX15OGJ,0.17367564458235027,2024-05-01 13:34:45,
65,6.0,[536.9283068169933 617.0932815044771 847.5308706324375 860.4341106497445],[649.7653198242188 761.5116577148438 743.1666870117188 805.1451416015625],0.3135375380516052,GX15OCJ,0.26575716701867075,2024-05-01 13:34:45,
67,5.0,[1129.8083548994528 751.2063313540958 1487.2433382169615 1075.4387131134142],[1257.5772705078125 1013.6006469726562 1362.7493896484375 1062.4476318359375],0.7035426497459412,NV51VSU,0.6776677113829869,2024-05-01 13:34:31,
69,5.0,[1132.6749114632994 759.6626005726249 1491.757329322811 1076.396313343988],[1260.213623046875 1023.3603515625 1369.0972900390625 1069.5633544921875],0.6829985976219177,KO51VSV,0.0607135756593851,2024-05-01 13:34:31,
